Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
23-04-2010,Albury,11.3,29,0,NA,NA,NNW,35,ESE,NNW,7,15,89,34,1020.5,1014,1,NA,15.4,27.9,No,Yes
24-04-2010,Albury,15.4,19.8,3.6,NA,NA,NNW,46,NNE,NNW,11,28,95,86,1013.4,1008.7,8,8,17.1,18.6,Yes,Yes
25-04-2010,Albury,10.8,18.5,17,NA,NA,W,37,WSW,W,11,20,72,40,1016.2,1017.6,NA,NA,14.4,18.4,Yes,No
26-04-2010,Albury,5.1,17.9,0,NA,NA,SSE,15,E,S,4,9,78,49,1026.5,1023,NA,NA,10.4,16.9,No,No
27-04-2010,Albury,7.1,16.1,0,NA,NA,ENE,17,NA,ENE,0,7,84,58,1020.9,1018,6,7,9.7,15.9,No,Yes
28-04-2010,Albury,9.7,17.3,1.6,NA,NA,NW,30,NE,WNW,6,17,84,50,1022,1019.6,1,1,12.4,16.9,Yes,No
29-04-2010,Albury,10.5,17.7,0.4,NA,NA,W,28,WSW,WSW,7,11,79,69,1021.9,1020.4,5,8,14.3,17,No,No
30-04-2010,Albury,5.6,19.1,0,NA,NA,ESE,13,NA,ESE,0,2,99,53,1026.8,1024.4,8,NA,9.4,19,No,No
01-05-2010,Albury,5.9,21.1,0.2,NA,NA,N,22,NA,NE,0,9,84,46,1027.9,1024.1,NA,NA,11.7,20.6,No,No
02-05-2010,Albury,4.8,20.7,0,NA,NA,SSW,15,NE,ESE,7,9,97,47,1026.7,1024.3,6,NA,10,20.3,No,No
03-05-2010,Albury,6.8,23,0,NA,NA,NNW,30,NA,NE,0,11,83,39,1027.1,1021.9,NA,NA,12.7,22.7,No,No
04-05-2010,Albury,8,25.3,0.2,NA,NA,WNW,61,WSW,N,7,26,92,29,1017.8,1011.2,8,4,11.9,24.8,No,Yes
05-05-2010,Albury,8.9,14.5,3,NA,NA,W,39,NW,W,17,22,84,51,1016.1,1015.5,8,NA,9.3,14.5,Yes,No
06-05-2010,Albury,7.1,15.3,0,NA,NA,W,35,NW,W,11,9,78,68,1022.3,1021.6,8,8,10.8,15.3,No,No
07-05-2010,Albury,5.7,17.5,0,NA,NA,W,20,S,WNW,2,6,89,56,1024.7,1021.7,8,6,10.2,16.8,No,No
08-05-2010,Albury,9.6,19.3,0,NA,NA,SSE,13,NA,NA,0,0,84,59,1023.7,1021.1,6,1,13,18.6,No,No
09-05-2010,Albury,5.7,19.5,0,NA,NA,ENE,17,E,SSE,7,4,99,54,1023.4,1019.6,8,1,9.2,18.6,No,No
10-05-2010,Albury,5,19.8,0,NA,NA,ENE,17,S,NE,2,9,99,47,1020.8,1015.2,7,NA,8.1,19.6,No,No
11-05-2010,Albury,3,15.6,0,NA,NA,WSW,43,WNW,WSW,9,20,77,47,1012.5,1014.8,NA,NA,10.7,13.2,No,No
12-05-2010,Albury,1.3,14.9,0,NA,NA,W,28,ESE,W,7,13,81,48,1022.8,1021.5,NA,NA,6,13.8,No,No
13-05-2010,Albury,1,17.1,0,NA,NA,W,30,NA,W,0,20,79,55,1024.1,1019.9,NA,NA,6.4,16.9,No,No
14-05-2010,Albury,3.1,17.7,0.2,NA,NA,SE,15,E,SE,7,7,99,46,1021.2,1017.1,8,NA,5.7,17.1,No,No
15-05-2010,Albury,2.2,18.4,0,NA,NA,SE,13,NA,ENE,0,2,83,44,1019.9,1017.3,NA,NA,8.1,18.1,No,No
